regime,bin_left,bin_right,bin_center,count
0,-0.22899728603345354,-0.22053305469273374,-0.22476517036309362,1
0,-0.22053305469273374,-0.21206882335201394,-0.21630093902237385,0
0,-0.21206882335201394,-0.20360459201129413,-0.20783670768165402,0
0,-0.20360459201129413,-0.19514036067057433,-0.19937247634093425,0
0,-0.19514036067057433,-0.18667612932985453,-0.19090824500021442,0
0,-0.18667612932985453,-0.17821189798913473,-0.18244401365949464,0
0,-0.17821189798913473,-0.16974766664841495,-0.17397978231877484,0
0,-0.16974766664841495,-0.16128343530769512,-0.16551555097805504,0
0,-0.16128343530769512,-0.15281920396697535,-0.15705131963733523,0
0,-0.15281920396697535,-0.14435497262625552,-0.14858708829661543,0
0,-0.14435497262625552,-0.13589074128553574,-0.14012285695589563,0
0,-0.13589074128553574,-0.12742650994481594,-0.13165862561517583,0
0,-0.12742650994481594,-0.11896227860409614,-0.12319439427445604,0
0,-0.11896227860409614,-0.11049804726337634,-0.11473016293373624,0
0,-0.11049804726337634,-0.10203381592265653,-0.10626593159301644,0
0,-0.10203381592265653,-0.09356958458193673,-0.09780170025229663,0
0,-0.09356958458193673,-0.08510535324121693,-0.08933746891157683,0
0,-0.08510535324121693,-0.07664112190049713,-0.08087323757085703,0
0,-0.07664112190049713,-0.06817689055977733,-0.07240900623013723,0
0,-0.06817689055977733,-0.05971265921905752,-0.06394477488941742,0
0,-0.05971265921905752,-0.05124842787833772,-0.05548054354869762,0
0,-0.05124842787833772,-0.04278419653761792,-0.04701631220797782,0
0,-0.04278419653761792,-0.03431996519689812,-0.03855208086725802,0
0,-0.03431996519689812,-0.025855733856178342,-0.03008784952653823,0
0,-0.025855733856178342,-0.01739150251545854,-0.02162361818581844,0
0,-0.01739150251545854,-0.008927271174738738,-0.013159386845098639,0
0,-0.008927271174738738,-0.00046303983401893567,-0.004695155504378837,0
0,-0.00046303983401893567,0.008001191506700867,0.0037690758363409654,0
0,0.008001191506700867,0.01646542284742067,0.012233307177060768,0
0,0.01646542284742067,0.02492965418814047,0.02069753851778057,0
0,0.02492965418814047,0.0333938855288603,0.029161769858500386,0
0,0.0333938855288603,0.041858116869580075,0.03762600119922019,0
0,0.041858116869580075,0.05032234821029985,0.04609023253993996,0
0,0.05032234821029985,0.05878657955101968,0.054554463880659765,0
0,0.05878657955101968,0.06725081089173945,0.06301869522137957,0
0,0.06725081089173945,0.07571504223245928,0.07148292656209937,0
0,0.07571504223245928,0.08417927357317906,0.07994715790281917,0
0,0.08417927357317906,0.09264350491389889,0.08841138924353897,0
0,0.09264350491389889,0.10110773625461866,0.09687562058425878,0
0,0.10110773625461866,0.10957196759533848,0.10533985192497858,0
1,-0.22899728603345354,-0.22053305469273374,-0.22476517036309362,0
1,-0.22053305469273374,-0.21206882335201394,-0.21630093902237385,0
1,-0.21206882335201394,-0.20360459201129413,-0.20783670768165402,0
1,-0.20360459201129413,-0.19514036067057433,-0.19937247634093425,0
1,-0.19514036067057433,-0.18667612932985453,-0.19090824500021442,0
1,-0.18667612932985453,-0.17821189798913473,-0.18244401365949464,0
1,-0.17821189798913473,-0.16974766664841495,-0.17397978231877484,0
1,-0.16974766664841495,-0.16128343530769512,-0.16551555097805504,0
1,-0.16128343530769512,-0.15281920396697535,-0.15705131963733523,0
1,-0.15281920396697535,-0.14435497262625552,-0.14858708829661543,0
1,-0.14435497262625552,-0.13589074128553574,-0.14012285695589563,0
1,-0.13589074128553574,-0.12742650994481594,-0.13165862561517583,1
1,-0.12742650994481594,-0.11896227860409614,-0.12319439427445604,0
1,-0.11896227860409614,-0.11049804726337634,-0.11473016293373624,0
1,-0.11049804726337634,-0.10203381592265653,-0.10626593159301644,0
1,-0.10203381592265653,-0.09356958458193673,-0.09780170025229663,2
1,-0.09356958458193673,-0.08510535324121693,-0.08933746891157683,3
1,-0.08510535324121693,-0.07664112190049713,-0.08087323757085703,2
1,-0.07664112190049713,-0.06817689055977733,-0.07240900623013723,6
1,-0.06817689055977733,-0.05971265921905752,-0.06394477488941742,6
1,-0.05971265921905752,-0.05124842787833772,-0.05548054354869762,7
1,-0.05124842787833772,-0.04278419653761792,-0.04701631220797782,20
1,-0.04278419653761792,-0.03431996519689812,-0.03855208086725802,40
1,-0.03431996519689812,-0.025855733856178342,-0.03008784952653823,112
1,-0.025855733856178342,-0.01739150251545854,-0.02162361818581844,252
1,-0.01739150251545854,-0.008927271174738738,-0.013159386845098639,407
1,-0.008927271174738738,-0.00046303983401893567,-0.004695155504378837,557
1,-0.00046303983401893567,0.008001191506700867,0.0037690758363409654,543
1,0.008001191506700867,0.01646542284742067,0.012233307177060768,379
1,0.01646542284742067,0.02492965418814047,0.02069753851778057,243
1,0.02492965418814047,0.0333938855288603,0.029161769858500386,94
1,0.0333938855288603,0.041858116869580075,0.03762600119922019,48
1,0.041858116869580075,0.05032234821029985,0.04609023253993996,22
1,0.05032234821029985,0.05878657955101968,0.054554463880659765,6
1,0.05878657955101968,0.06725081089173945,0.06301869522137957,5
1,0.06725081089173945,0.07571504223245928,0.07148292656209937,2
1,0.07571504223245928,0.08417927357317906,0.07994715790281917,0
1,0.08417927357317906,0.09264350491389889,0.08841138924353897,4
1,0.09264350491389889,0.10110773625461866,0.09687562058425878,0
1,0.10110773625461866,0.10957196759533848,0.10533985192497858,2
2,-0.22899728603345354,-0.22053305469273374,-0.22476517036309362,0
2,-0.22053305469273374,-0.21206882335201394,-0.21630093902237385,0
2,-0.21206882335201394,-0.20360459201129413,-0.20783670768165402,0
2,-0.20360459201129413,-0.19514036067057433,-0.19937247634093425,0
2,-0.19514036067057433,-0.18667612932985453,-0.19090824500021442,0
2,-0.18667612932985453,-0.17821189798913473,-0.18244401365949464,0
2,-0.17821189798913473,-0.16974766664841495,-0.17397978231877484,0
2,-0.16974766664841495,-0.16128343530769512,-0.16551555097805504,0
2,-0.16128343530769512,-0.15281920396697535,-0.15705131963733523,0
2,-0.15281920396697535,-0.14435497262625552,-0.14858708829661543,0
2,-0.14435497262625552,-0.13589074128553574,-0.14012285695589563,0
2,-0.13589074128553574,-0.12742650994481594,-0.13165862561517583,0
2,-0.12742650994481594,-0.11896227860409614,-0.12319439427445604,0
2,-0.11896227860409614,-0.11049804726337634,-0.11473016293373624,0
2,-0.11049804726337634,-0.10203381592265653,-0.10626593159301644,0
2,-0.10203381592265653,-0.09356958458193673,-0.09780170025229663,0
2,-0.09356958458193673,-0.08510535324121693,-0.08933746891157683,0
2,-0.08510535324121693,-0.07664112190049713,-0.08087323757085703,0
2,-0.07664112190049713,-0.06817689055977733,-0.07240900623013723,0
2,-0.06817689055977733,-0.05971265921905752,-0.06394477488941742,0
2,-0.05971265921905752,-0.05124842787833772,-0.05548054354869762,0
2,-0.05124842787833772,-0.04278419653761792,-0.04701631220797782,0
2,-0.04278419653761792,-0.03431996519689812,-0.03855208086725802,0
2,-0.03431996519689812,-0.025855733856178342,-0.03008784952653823,0
2,-0.025855733856178342,-0.01739150251545854,-0.02162361818581844,2
2,-0.01739150251545854,-0.008927271174738738,-0.013159386845098639,99
2,-0.008927271174738738,-0.00046303983401893567,-0.004695155504378837,1656
2,-0.00046303983401893567,0.008001191506700867,0.0037690758363409654,2611
2,0.008001191506700867,0.01646542284742067,0.012233307177060768,260
2,0.01646542284742067,0.02492965418814047,0.02069753851778057,1
2,0.02492965418814047,0.0333938855288603,0.029161769858500386,0
2,0.0333938855288603,0.041858116869580075,0.03762600119922019,0
2,0.041858116869580075,0.05032234821029985,0.04609023253993996,0
2,0.05032234821029985,0.05878657955101968,0.054554463880659765,0
2,0.05878657955101968,0.06725081089173945,0.06301869522137957,0
2,0.06725081089173945,0.07571504223245928,0.07148292656209937,0
2,0.07571504223245928,0.08417927357317906,0.07994715790281917,0
2,0.08417927357317906,0.09264350491389889,0.08841138924353897,0
2,0.09264350491389889,0.10110773625461866,0.09687562058425878,0
2,0.10110773625461866,0.10957196759533848,0.10533985192497858,0
3,-0.22899728603345354,-0.22053305469273374,-0.22476517036309362,0
3,-0.22053305469273374,-0.21206882335201394,-0.21630093902237385,0
3,-0.21206882335201394,-0.20360459201129413,-0.20783670768165402,0
3,-0.20360459201129413,-0.19514036067057433,-0.19937247634093425,0
3,-0.19514036067057433,-0.18667612932985453,-0.19090824500021442,0
3,-0.18667612932985453,-0.17821189798913473,-0.18244401365949464,0
3,-0.17821189798913473,-0.16974766664841495,-0.17397978231877484,0
3,-0.16974766664841495,-0.16128343530769512,-0.16551555097805504,0
3,-0.16128343530769512,-0.15281920396697535,-0.15705131963733523,0
3,-0.15281920396697535,-0.14435497262625552,-0.14858708829661543,0
3,-0.14435497262625552,-0.13589074128553574,-0.14012285695589563,0
3,-0.13589074128553574,-0.12742650994481594,-0.13165862561517583,0
3,-0.12742650994481594,-0.11896227860409614,-0.12319439427445604,0
3,-0.11896227860409614,-0.11049804726337634,-0.11473016293373624,0
3,-0.11049804726337634,-0.10203381592265653,-0.10626593159301644,0
3,-0.10203381592265653,-0.09356958458193673,-0.09780170025229663,0
3,-0.09356958458193673,-0.08510535324121693,-0.08933746891157683,0
3,-0.08510535324121693,-0.07664112190049713,-0.08087323757085703,0
3,-0.07664112190049713,-0.06817689055977733,-0.07240900623013723,0
3,-0.06817689055977733,-0.05971265921905752,-0.06394477488941742,0
3,-0.05971265921905752,-0.05124842787833772,-0.05548054354869762,0
3,-0.05124842787833772,-0.04278419653761792,-0.04701631220797782,0
3,-0.04278419653761792,-0.03431996519689812,-0.03855208086725802,1
3,-0.03431996519689812,-0.025855733856178342,-0.03008784952653823,14
3,-0.025855733856178342,-0.01739150251545854,-0.02162361818581844,143
3,-0.01739150251545854,-0.008927271174738738,-0.013159386845098639,974
3,-0.008927271174738738,-0.00046303983401893567,-0.004695155504378837,3197
3,-0.00046303983401893567,0.008001191506700867,0.0037690758363409654,3775
3,0.008001191506700867,0.01646542284742067,0.012233307177060768,1343
3,0.01646542284742067,0.02492965418814047,0.02069753851778057,226
3,0.02492965418814047,0.0333938855288603,0.029161769858500386,19
3,0.0333938855288603,0.041858116869580075,0.03762600119922019,2
3,0.041858116869580075,0.05032234821029985,0.04609023253993996,0
3,0.05032234821029985,0.05878657955101968,0.054554463880659765,0
3,0.05878657955101968,0.06725081089173945,0.06301869522137957,0
3,0.06725081089173945,0.07571504223245928,0.07148292656209937,0
3,0.07571504223245928,0.08417927357317906,0.07994715790281917,0
3,0.08417927357317906,0.09264350491389889,0.08841138924353897,0
3,0.09264350491389889,0.10110773625461866,0.09687562058425878,0
3,0.10110773625461866,0.10957196759533848,0.10533985192497858,0
